word,meaning,synonyms
abound,large numbers or amounts,
amorphous,without a clearly defined shape or form,
austere,"strict in manner, having no comforts or luxuries",
 belie,"fail to give true impression of something, contradict, fail to justify",
 capricious,"sudden change of mood, unpredictable, fickle",
 cerebral,"of the cerebrum of the brain, intellectual rather than physical",
 congenial,pleasant or agreeable because suited to one's taste,
 conspicuous,"clearly visible, attracting notice or attention",
 cursory,hasty and therefore not through or detailed,
 daunting,"difficult to deal with, discourage through fear",
 deify,worship or regard as a god,
 didactic,"instructive, particularly so as to appear patronizing",
 disseminate,spread widely,
 feasible,possible to do easily or conveniently,
 flout,"openly disregard, mock, scoff",
 homogeneous,of the same kind,
 humdrum,lacking excitement or variety; boringly monotonous,
 insipid,"tasteless, lacking interest",
 loquacious,talkative,
 misanthropic,having or showing dislike of other people,
 misnomer,a wrong or inaccurate name or designation,
 negligent,failing to take proper care over something,
 obsequious,obedient to an excessive or servile degree,
 placate,make less angry,
 proclivity,a tendency to choose or do something regularly,
 puerile,childishly silly,
 quixotic,"extremely idealistic, unrealistic, impractical",
 spendthrift,a person who spends money in an irresponsible way,
 taciturn,saying little,
 wary,feeling or showing caution about possible dangers,
 adulterate,render poorer in quality by adding another substance,
 advocate,publicly recommend or support,
 aggrandize,"increase power, status, reputation of someone",
 alacrity,brisk and cheerful readiness,
 ambivalent,having mixed feelings or contradictory ideas,
 ameliorate,make something bad better,
 amenable,"open to suggestions, easily persuaded, susceptible",
 anachronistic,belonging to a period other than that being portrayed conspicuously old-fashioned,
 audacious,"willingness to take surprisingly bold risks, showing impudent lack of respect",
 avaricious,showing extreme greed for wealth or material gain,
 banal,lacking in originality as to be obvious and boring,
 benign,"gentle and kind, not harmful to the environment",
 brazen,bold and without shame,
 calumny,false and slanderous statement about someone,
 candid,truthful and straightforward,
 castigate,reprimand severely,
 caustic,"sarcastic in a bitter way, chemical",
 construe,interpret in a particular way,
 contrite,feeling or expressing remorse that one has done wrong,
 convoluted,extremely complex and difficult to follow and twisted,
 covet,yearn to possess something belonging to another,
 craven,"lacking in courage, cowardly",
 decorum,behavior in keeping with good taste and propriety,
 deft,demonstrating skill and cleverness,
 demur,raise objections or show reluctance,
 derivative,imitative of the work of another,
 desiccate,cause to become completely dry,
 diatribe,a forceful and bitter verbal attack,
